"month","count"
"2005-03-01 00:00:00.000","1"
"2005-04-01 00:00:00.000","2"
"2005-05-01 00:00:00.000","1"
"2005-06-01 00:00:00.000","5"
"2005-07-01 00:00:00.000","18"
"2005-08-01 00:00:00.000","6"
"2005-09-01 00:00:00.000","1"
"2005-10-01 00:00:00.000","12"
"2005-11-01 00:00:00.000","2"
"2005-12-01 00:00:00.000","1"
"2006-01-01 00:00:00.000","10"
"2006-02-01 00:00:00.000","10"
"2006-03-01 00:00:00.000","10"
"2006-04-01 00:00:00.000","14"
"2006-05-01 00:00:00.000","9"
"2006-06-01 00:00:00.000","9"
"2006-07-01 00:00:00.000","13"
"2006-08-01 00:00:00.000","26"
"2006-09-01 00:00:00.000","16"
"2006-10-01 00:00:00.000","22"
"2006-11-01 00:00:00.000","49"
"2006-12-01 00:00:00.000","38"
"2007-01-01 00:00:00.000","62"
"2007-02-01 00:00:00.000","51"
"2007-03-01 00:00:00.000","40"
"2007-04-01 00:00:00.000","34"
"2007-05-01 00:00:00.000","61"
"2007-06-01 00:00:00.000","61"
"2007-07-01 00:00:00.000","81"
"2007-08-01 00:00:00.000","63"
"2007-09-01 00:00:00.000","70"
"2007-10-01 00:00:00.000","65"
"2007-11-01 00:00:00.000","67"
"2007-12-01 00:00:00.000","69"
"2008-01-01 00:00:00.000","105"
"2008-02-01 00:00:00.000","106"
"2008-03-01 00:00:00.000","119"
"2008-04-01 00:00:00.000","108"
"2008-05-01 00:00:00.000","119"
"2008-06-01 00:00:00.000","87"
"2008-07-01 00:00:00.000","137"
"2008-08-01 00:00:00.000","125"
"2008-09-01 00:00:00.000","114"
"2008-10-01 00:00:00.000","118"
"2008-11-01 00:00:00.000","125"
"2008-12-01 00:00:00.000","112"
"2009-01-01 00:00:00.000","162"
"2009-02-01 00:00:00.000","155"
"2009-03-01 00:00:00.000","169"
"2009-04-01 00:00:00.000","152"
"2009-05-01 00:00:00.000","154"
"2009-06-01 00:00:00.000","154"
"2009-07-01 00:00:00.000","148"
"2009-08-01 00:00:00.000","180"
"2009-09-01 00:00:00.000","193"
"2009-10-01 00:00:00.000","146"
"2009-11-01 00:00:00.000","173"
"2009-12-01 00:00:00.000","156"
"2010-01-01 00:00:00.000","237"
"2010-02-01 00:00:00.000","227"
"2010-03-01 00:00:00.000","232"
"2010-04-01 00:00:00.000","194"
"2010-05-01 00:00:00.000","238"
"2010-06-01 00:00:00.000","203"
"2010-07-01 00:00:00.000","262"
"2010-08-01 00:00:00.000","261"
"2010-09-01 00:00:00.000","230"
"2010-10-01 00:00:00.000","267"
"2010-11-01 00:00:00.000","250"
"2010-12-01 00:00:00.000","223"
"2011-01-01 00:00:00.000","314"
"2011-02-01 00:00:00.000","291"
"2011-03-01 00:00:00.000","316"
"2011-04-01 00:00:00.000","295"
"2011-05-01 00:00:00.000","334"
"2011-06-01 00:00:00.000","305"
"2011-07-01 00:00:00.000","310"
"2011-08-01 00:00:00.000","343"
"2011-09-01 00:00:00.000","273"
"2011-10-01 00:00:00.000","320"
"2011-11-01 00:00:00.000","314"
"2011-12-01 00:00:00.000","281"
"2012-01-01 00:00:00.000","368"
"2012-02-01 00:00:00.000","337"
"2012-03-01 00:00:00.000","339"
"2012-04-01 00:00:00.000","346"
"2012-05-01 00:00:00.000","323"
"2012-06-01 00:00:00.000","355"
"2012-07-01 00:00:00.000","361"
"2012-08-01 00:00:00.000","340"
"2012-09-01 00:00:00.000","322"
"2012-10-01 00:00:00.000","327"
"2012-11-01 00:00:00.000","308"
"2012-12-01 00:00:00.000","284"
"2013-01-01 00:00:00.000","384"
"2013-02-01 00:00:00.000","345"
"2013-03-01 00:00:00.000","339"
"2013-04-01 00:00:00.000","307"
"2013-05-01 00:00:00.000","380"
"2013-06-01 00:00:00.000","374"
"2013-07-01 00:00:00.000","393"
"2013-08-01 00:00:00.000","427"
"2013-09-01 00:00:00.000","404"
"2013-10-01 00:00:00.000","458"
"2013-11-01 00:00:00.000","431"
"2013-12-01 00:00:00.000","397"
"2014-01-01 00:00:00.000","549"
"2014-02-01 00:00:00.000","455"
"2014-03-01 00:00:00.000","551"
"2014-04-01 00:00:00.000","568"
"2014-05-01 00:00:00.000","611"
"2014-06-01 00:00:00.000","616"
"2014-07-01 00:00:00.000","701"
"2014-08-01 00:00:00.000","744"
"2014-09-01 00:00:00.000","621"
"2014-10-01 00:00:00.000","675"
"2014-11-01 00:00:00.000","632"
"2014-12-01 00:00:00.000","595"
"2015-01-01 00:00:00.000","816"
"2015-02-01 00:00:00.000","651"
"2015-03-01 00:00:00.000","809"
"2015-04-01 00:00:00.000","750"
"2015-05-01 00:00:00.000","818"
"2015-06-01 00:00:00.000","772"
"2015-07-01 00:00:00.000","895"
"2015-08-01 00:00:00.000","1020"
"2015-09-01 00:00:00.000","828"
"2015-10-01 00:00:00.000","892"
"2015-11-01 00:00:00.000","828"
"2015-12-01 00:00:00.000","677"
"2016-01-01 00:00:00.000","968"
"2016-02-01 00:00:00.000","862"
"2016-03-01 00:00:00.000","980"
"2016-04-01 00:00:00.000","892"
"2016-05-01 00:00:00.000","956"
"2016-06-01 00:00:00.000","923"
"2016-07-01 00:00:00.000","1041"
"2016-08-01 00:00:00.000","942"
"2016-09-01 00:00:00.000","896"
"2016-10-01 00:00:00.000","856"
"2016-11-01 00:00:00.000","822"
"2016-12-01 00:00:00.000","770"
"2017-01-01 00:00:00.000","943"
"2017-02-01 00:00:00.000","917"
"2017-03-01 00:00:00.000","982"
"2017-04-01 00:00:00.000","1001"
"2017-05-01 00:00:00.000","986"
"2017-06-01 00:00:00.000","989"
"2017-07-01 00:00:00.000","1136"
"2017-08-01 00:00:00.000","1060"
"2017-09-01 00:00:00.000","1017"
"2017-10-01 00:00:00.000","1044"
"2017-11-01 00:00:00.000","922"
"2017-12-01 00:00:00.000","886"
"2018-01-01 00:00:00.000","1052"
"2018-02-01 00:00:00.000","956"
"2018-03-01 00:00:00.000","1111"
"2018-04-01 00:00:00.000","1134"
"2018-05-01 00:00:00.000","1130"
"2018-06-01 00:00:00.000","1119"
"2018-07-01 00:00:00.000","1218"
"2018-08-01 00:00:00.000","1185"
"2018-09-01 00:00:00.000","1003"
"2018-10-01 00:00:00.000","967"
"2018-11-01 00:00:00.000","956"
"2018-12-01 00:00:00.000","896"
"2019-01-01 00:00:00.000","978"
"2019-02-01 00:00:00.000","868"
"2019-03-01 00:00:00.000","1041"
"2019-04-01 00:00:00.000","956"
"2019-05-01 00:00:00.000","983"
"2019-06-01 00:00:00.000","990"
"2019-07-01 00:00:00.000","1086"
"2019-08-01 00:00:00.000","1112"
"2019-09-01 00:00:00.000","1001"
"2019-10-01 00:00:00.000","902"
"2019-11-01 00:00:00.000","805"
"2019-12-01 00:00:00.000","810"
"2020-01-01 00:00:00.000","945"
"2020-02-01 00:00:00.000","823"
"2020-03-01 00:00:00.000","596"
"2020-04-01 00:00:00.000","231"
"2020-05-01 00:00:00.000","290"
"2020-06-01 00:00:00.000","439"
"2020-07-01 00:00:00.000","499"
"2020-08-01 00:00:00.000","589"
"2020-09-01 00:00:00.000","559"
"2020-10-01 00:00:00.000","580"
"2020-11-01 00:00:00.000","524"
"2020-12-01 00:00:00.000","541"
"2021-01-01 00:00:00.000","541"
